"num_debate","canal","username","fecha","comentario","num_likes","comentario_editado"
"1.0","universal","perlapatriciamartinezherna3422","07/04/2024","Pésimo, al principio se dedicaron más sacarse los trapitos al sol y  fueron poco claros con sus propuestas. Hay dio podre de nuestro México. ¿Porque al candidato varón le fallaba mucho el audio?","26.0",""
"1.0","universal","darkhonoko-ippenshindemiru1511","07/04/2024","Si hace 6 años el debate fue un chiste. El de hoy fue peor, ni a quien irle.","38.0","si hace 6 años el debate fue un chiste.el de hoy fue peor,ni a quien irle."
"1.0","universal","mauriciorodriquezvalencia6452","07/04/2024","En la primera pregutna Claudia no respondió como o con que presupuesto se mejoraría el sistema de salud y perdio mucho tiempo con cosas que no eran sobre la pregunta   Jorgue hace por que la gente lo tope  igual perdio tiempo y uso el pupulismo de los niños primero y no dijo nada de valor solo que cubrira los medicamentos de todos y todas las niñas pero el como y el con que quien sabe   Xochitl solo tiro tierra quiere que usa entre a mexico para enriqueser al gobierno de baiden que buena falta le hace (esto con la guerra que quiere hacer contra el narco que obvio veneficiara a la economía privada de las empresas armamentista amrericanas) propuso un nuevo sistema con tarjetas (las cuales serviran seguramente como labado y blanqueo de dinero a nivel gubernamental) y si dinero hay si no se lo roban","16.0","en la primera pregutna claudia no respondió como o con que presupuesto se mejoraría el sistema de salud y perdio mucho tiempo con cosas que no eran sobre la pregunta jorgue hace por que la gente lo tope igual perdio tiempo y uso el pupulismo de los niños primero y no dijo nada de valor solo que cubrira los medicamentos de todos y todas las niñas pero el como y el con que quien sabe xochitl solo tiro tierra quiere que usa entre a mexico para enriqueser al gobierno de baiden que buena falta le hace(esto con la guerra que quiere hacer contra el narcotraficante que obvio veneficiara a la economía privada de las empresas armamentista amrericanas)propuso un nuevo sistema con tarjetas(las cuales serviran seguramente como labado y blanqueo de dinero a nivel gubernamental)y si dinero hay si no se lo roban"
"1.0","universal","eljc8352","07/04/2024","Se me rompe el corazón, saber que Claudia también miente  por sus respuestas en las preguntas evade   al único que se le ve seguridad mas a maynez!  Esta vez el debate lo ganó maynez en mi opinión","21.0","se me rompe el corazón,saber que claudia también miente por sus respuestas en las preguntas evade al único que se le ve seguridad más a maynez!esta vez el debate lo ganó maynez en mi opinión"
"1.0","universal","paradojadelaeternidad5511","07/04/2024","El tiempo lo tenían contado, la mitad de su actitud era estarse culpando en lugar de informarnos desde la convicción de realmente querer cambios, la verdad me decepcionaron los tres, que necesiten atacar al otro para reafirmarse, eso sería más bien hacerlo legal... Será que al pueblo nos gusta el entretenimiento?","6.0","el tiempo lo tenían contado,la mitad de su actitud era estarse culpando en lugar de informarnos desde la convicción de realmente querer cambios,la verdad me decepcionaron los tres,que necesiten atacar al otro para reafirmarse,eso sería más bien hacerlo legal...será que al pueblo nos gusta el entretenimiento?"
"1.0","universal","user-fe9pk7mh8p","07/04/2024","Se escuchan ecos arreglen el audio","10.0","se escuchan ecos arreglen el audio"
"1.0","universal","mauriciorodriquezvalencia6452","07/04/2024","Pesimo el audio asqueroso la verdad en la pregunta del minuto 34:57  que se le hizo a jorge se perdió todo el audio de su respuesta","14.0","pesimo el audio asqueroso la verdad en la pregunta del minuto 34:57 que se le hizo a jorge se perdió todo el audio de su respuesta"
"1.0","universal","jafetca1","07/04/2024","Jajaja jajaja 1:39:59  la cara de la Momia cuando le dijeron que también anda con los del PRIAN (fotos) y luego la rematan con que no tiene el carisma de AMLO jajaja jajaja esa estuvo buena...","2.0","jajaja jajaja 1:39:59 la cara de la momia cuando le dijeron que también anda con los del prian rpresentado por xochitl(fotos)y luego la rematan con que no tiene el carisma de amlo jajaja jajaja esa estuvo buena..."
"1.0","universal","jorgem.nicola4050","07/04/2024","No fue un buen debate, lo que destacó es la sonrisa idéntica a la de AMLO de su candidata, …","5.0","no fue un buen debate,lo que destacó es la sonrisa idéntica a la de amlo de su candidata,…"
"1.0","universal","mauriciorodriquezvalencia6452","07/04/2024","Con lo de los medicamentos de piojos si se la avento buena Xochitl por que queramos o no aceptarlo si estuvo muy mal","19.0","con lo de los medicamentos de piojos si se la avento buena xochitl por que queramos o no aceptarlo si estuvo muy mal"
"1.0","universal","antoniogc1568","07/04/2024","No se centren en el chisme, cenctrense en las PROPUESTAS, por favor.","12.0","no se centren en el chisme,cenctrense en las propuestas,por favor."
"1.0","universal","oscarperezsosa845","07/04/2024","Este gobierno fue y sigue siendo un fracaso en salud , desde el Insabi, los medicamentos para niños con cáncer y desabasto en general de medicamentos, el fracaso en el manejo de la pandemia, en fin todo mallll… increíble lo que dice la candidata de Morena. Y quiere continuidad? Continuar con el fracasototeeee?…","13.0","este gobierno fue y sigue siendo un fracaso en salud,desde el insabi,los medicamentos para niños con cáncer y desabasto en general de medicamentos,el fracaso en el manejo de la pandemia,en fin todo mallll…increíble lo que dice la candidata de morena.y quiere continuidad?continuar con el fracasototeeee?…"
"1.0","universal","DanielHernandez-nj5nn","07/04/2024","Cómo cada 6 años es lo mismo se agreden, se dicen mentirosos, se dicen corruptos y bla bla bla al final ya se sabe que los 3 son todos eso mentirosos y corruptos ya esto lo veo por diversión la neta","7.0","cómo cada 6 años es lo mismo se agreden,se dicen mentirosos,se dicen corruptos y bla bla bla al final ya se sabe que los 3 son todos eso mentirosos y corruptos ya esto lo veo por diversión la neta"
"1.0","universal","mauriciorodriquezvalencia6452","07/04/2024","Que triste ver tanta ignorancia en los comentarios y opinión del pueblo mexicano se nota que nos han echo pasar por un sistema académico deplorable cero objetividad y logica en este chat","10.0","que triste ver tanta ignorancia en los comentarios y opinión del pueblo mexicano se nota que nos han echo pasar por un sistema académico deplorable cero objetividad y logica en este chat"
"1.0","universal","user-yi6cb1mz1i","07/04/2024","Ay, queríamos escuchar propuestas, no ataques","10.0","ay,queríamos escuchar propuestas,no ataques"
"1.0","universal","jonathanyairbecerramercado2956","07/04/2024","35:15 minuto que paso ahi","0.0","35:15 minuto que paso ahí"
"1.0","universal","gabotorres9145","07/04/2024","Xochil solo llevaba las tragedias para atacar a claudia pero ella es la que se mira mal por abusiva","28.0","xochitl solo llevaba las tragedias para atacar a claudia pero ella es la que se mira mal por abusiva"
"1.0","universal","danielfloresrivera3095","07/04/2024","Esa Xóchitl y su coguccion","7.0","esa xochitl y su coguccion"
"1.0","universal","andresgarciaaranda5650","07/04/2024","En el minuto 26 y 40 seg, se puede apreciar en el reloj como le quitan tiempo a Claudia Sheimbaun, casi 2 min le roban","9.0","en el minuto 26 y 40 seg,se puede apreciar en el reloj como le quitan tiempo a claudia sheinbaum,casi 2 min le roban"
"1.0","universal","killerromi","07/04/2024","Que feo formato","4.0","que feo formato"
"1.0","universal","RamsesLozano","07/04/2024","1:06:00","0.0","1:06:00"
"1.0","universal","diegolcl1995","07/04/2024","El audio está muy mal, por favor arreglenlo 35:41","0.0","el audio está muy mal,por favor arreglenlo 35:41"
"1.0","universal","BandaCats156","07/04/2024","Sin duda este es debate más xd que he visto, más por lo que dice Xóchitl, por que anda culpando y tratando de que le responda Claudia, y Maynez solo se le ve sonriendo cuando yo solo me ando preguntandome de donde salio ese Men xD  Qué Claudia gane la Presidencia!","2.0","sin duda este es debate más xd que he visto,más por lo que dice xochitl,por que anda culpando y tratando de que le responda claudia,y maynez solo se le ve sonriendo cuando yo solo me ando preguntandome de donde salio ese hombre xd qué claudia gane la presidencia!"
"1.0","universal","mariadelcarmenrodriguezdia6548","07/04/2024","Excelente moderador del Análisis post debate. Bravo Carlos González es un gusto verte en pantalla","2.0","excelente moderador del análisis post debate.bravo carlos gonzález es un gusto verte en pantalla"
"1.0","universal","mauriciorodriquezvalencia6452","07/04/2024","Xochitl quiere desviar mucho recurso quiere regalar tablets con internet dar tarjetas de subcidio para medicamentos hacer un nuevo sistema de guarderías y todo de aqui 41:34 para atras cuantos miles de millones se podran desviar con estas iniciativas","6.0","xochitl quiere desviar mucho recurso quiere regalar tablets con internet dar tarjetas de subcidio para medicamentos hacer un nuevo sistema de guarderías y todo de aqui 41:34 para atras cuantos miles de millones se podran desviar con estas iniciativas"
"1.0","universal","juliohinojos-zc5lu","07/04/2024","Creo que ningún candidato de los 3 tiene la fuerza que tiene AMLO. Necesitamos uno mayor .con carácter como putin Rus. Con muchos testic.","11.0","creo que ningún candidato de los 3 tiene la fuerza que tiene amlo.necesitamos uno mayor.con carácter como putin rus.con muchos testic."
"1.0","universal","tecojoorita","07/04/2024","Donde puedo vender mi voto?","2.0","donde puedo vender mi voto?"
"1.0","universal","adriana7519","07/04/2024","Claudia, templada; Xóchitl dispersa","12.0","claudia,templada;xochitl dispersa"
"1.0","universal","jlqwerty","07/04/2024","Me agrada el análisis y manejo dela mesa qué tiene Julieta","4.0","me agrada el análisis y manejo de la mesa qué tiene julieta"
"1.0","universal","teodoraavila1090","07/04/2024","No olviden quien devastó la selva del sureste y robaron tierras a los ejidatarios","7.0","no olviden quien devastó la selva del sureste y robaron tierras a los ejidatarios"
"1.0","universal","antonioalvarez9020","07/04/2024","Un debate desastroso las cámaras, sonido , el cronómetro el INE , los moderadores , hay otros debates archivados muy buenos y este de chochil malísimo solo favorecen a chochil los del INE.","2.0","un debate desastroso las cámaras,sonido,el cronómetro el ine,los moderadores,hay otros debates archivados muy buenos y este de xochitl malísimo solo favorecen a xochitl los del ine."
"1.0","universal","cristinayoung8027","07/04/2024","Jorge muy buenas respuestas las otras dos defendiendo sus corrupciones gracias por sacar los trapitos al sol ahora sabemos de q carecen","10.0","jorge muy buenas respuestas las otras dos defendiendo sus corrupciones gracias por sacar los trapitos al sol ahora sabemos de que carecen"
"1.0","universal","Erick_XCX","07/04/2024","POG GAGIO, POG TELEGVISION Y POG GEDES SOGCIALES.","17.0","pog gagio,pog telegvision y pog gedes sogciales."
"1.0","universal","AlejandraMartinez-yz9gh","07/04/2024","Que vergüenza!!! Con un país de más de cien millones de habitantes, tener solo estas tres opciones. Temas como el narcotráfico por ejemplo cuando van a tocarlo... Muertes cotidianas a raíz de este problema como van a erradicarlo.","5.0","que vergüenza!!!con un país de más de cien millones de habitantes,tener solo estas tres opciones.temas como el narcotráfico por ejemplo cuando van a tocarlo...muertes cotidianas a raíz de este problema como van a erradicarlo."
"1.0","universal","mariaelenacuevasbenavides8525","07/04/2024","En educación hay que mejorar los programas para preparar ciudadanos responsables, creativos. En los libros se debe incluir la manera de alimentarse para tener una salud integral, conocer plantas medicinales, ornato, etc. Incluir en libros de texto educación financiera, cívica.","2.0","en educación hay que mejorar los programas para preparar ciudadanos responsables,creativos.en los libros se debe incluir la manera de alimentarse para tener una salud integral,conocer plantas medicinales,ornato,etc.incluir en libros de texto educación financiera,cívica."
"1.0","universal","ArmandoW11691","07/04/2024","La bandera al revés","0.0","la bandera al revés"
"1.0","universal","alex0438","07/04/2024","En resumen, Claudia ganó, Maynez sorprendió en propuestas y Xóchitl lamentable, puro ataque como era de esperarse, ni con el tiempo extra que le dieron bastó para que no la hicieran papilla.","4.0","en resumen,claudia ganó,maynez sorprendió en propuestas y xochitl lamentable,puro ataque como era de esperarse,ni con el tiempo extra que le dieron bastó para que no la hicieran papilla."
"1.0","universal","LAMUCHACHA","07/04/2024","EL SISTEMA DE SALUD EN MI ESTADO SONORENSE ES DEPLORABLE NOS HACE FALTA MAS, CLAUDIA SE ENFOCA EN CUANTO A EDUCACIÓN EN LA CIUDAD PERO DONDE QUEDAN LOS NIÑOS DE LAS REGIONES ALEJADAS DE LAS PRINCIPALES MUNICIPIOS, NO HAY MAESTROS, UTILIZAN UN MAESTRO PARA DOS GRADOS ESO NO SE LLAMA EDUCACIÓN, ESTA MUY POBRE LA EDUCACIÓN EN LAS ÁREAS RURALES,ME GUSTA  MAYNES DUELE DECIR PERO XOCHILIT TIENE MUCHA RAZÓN EN CUANTO TEGNOLOGIA,ES TAN IMPORTANTE POR QUÉ HOY EN DÍA ES LO QUÉ CONLLEVA A MUCHOS NIÑOS A PENSAR EN DIFERENTES CARRERAS HOY EN DÍA TODO ES TEGNOLOGICO,CLAUDIA VINE A ESCUCHAR UNA MEJOR PROPUESTA,NO A PREGUNTAR QUÉ DIPLOMADOS TIENE.","6.0","el sistema de salud en mi estado sonorense es deplorable nos hace falta más,claudia se enfoca en cuanto a educación en la ciudad pero donde quedan los niños de las regiones alejadas de las principales municipios,no hay maestros,utilizan un maestro para dos grados eso no se llama educación,esta muy pobre la educación en las áreas rurales,me gusta maynez duele decir pero xochitl tiene mucha razón en cuanto tegnologia,es tan importante por qué hoy en día es lo qué conlleva a muchos niños a pensar en diferentes carreras hoy en día todo es tegnologico,claudia vine a escuchar una mejor propuesta,no a preguntar qué diplomados tiene."
"1.0","universal","elenadelarosa2215","07/04/2024","Estoy impresionada de vdd del nivel de mentiras de CLaudia, como es posible que acetemos esta clase de gente al mando de nustro pais ni como delegada jefa de gobierno y mucho menos como presidenta, elegir alguien de esa calaña es meternos un balazo en el pie que verguenza !","5.0","estoy impresionada de vdd del nivel de mentiras de claudia,como es posible que acetemos esta clase de gente al mando de nustro pais ni como delegada jefa de gobierno y mucho menos como presidenta,elegir alguien de esa calaña es meternos un balazo en el pie que verguenza!"
"1.0","universal","petergonse2697","07/04/2024","Solo le falta a la diputada de morena, preguntar, CUANTO GANA LORET.","4.0","solo le falta a la diputada de morena,preguntar,cuanto gana loret."
"1.0","universal","ferlanymorales4397","07/04/2024","Asi clmo claudia evadio algunas preguntas, xochil evadio todaas, solo de ver a xochil me da miedo que vaya a ganar","4.0","así como claudia evadio algunas preguntas,xochitl evadio todaas,solo de ver a xochitl me da miedo que vaya a ganar"
"1.0","universal","GMRone","07/04/2024","Xochitl..fue a tirarle a Claudia?..siempre.la.politica es tirarle al.otro..en.lugar de proponer y apoyar los mejores proyectos.....y no robar...ALV","10.0","xochitl..fue a tirarle a claudia?..siempre.la.politica es tirarle al.otro..en.lugar de proponer y apoyar los mejores proyectos.....y no robar...alv"
"1.0","universal","antonioalvarez9020","07/04/2024","Se pasaron los del INE en este debate con el reloj ya me imagino si fuera un campeonato de atletismo de 100 metros planes hubiera ganado chochil y sería la mujer mas rápida del mundo.","2.0","se pasaron los del ine en este debate con el reloj ya me imagino si fuera un campeonato de atletismo de 100 metros planes hubiera ganado xochitl y sería la mujer más rápida del mundo."
"1.0","universal","irmamontero576","07/04/2024","Candidata Xochitl los mexicanos queremos proyectos y soluciones no ataques s los contrincantes. En educación y salud recuerde que ya estaban privatizando.","0.0","candidata xochitl los mexicanos queremos proyectos y soluciones no ataques s los contrincantes.en educación y salud recuerde que ya estaban privatizando."
"1.0","universal","user-jf6xk8cc2k","07/04/2024","No veo ninguno de ellos q sea apto para la presidencia de la República pero siento que esto ya está hablando y va a ganar Claudia Sherman","2.0","no veo ninguno de ellos que sea apto para la presidencia de la república pero siento que esto ya está hablando y va a ganar claudia sherman"
"1.0","universal","pimpogrenudo1","07/04/2024","Como se le hace para no vomitarse al estar cerca de un “saco de pus?!”","1.0","como se le hace para no vomitarse al estar cerca de un“saco de pus?!”"
"1.0","universal","gabrielaleoncruz7758","07/04/2024","Que bueno que CLAUDIA SHEMBAUM se mantuvo firme a sus propuestas y no cayó en el juego de perder tiempo en seguirle el juego a XOCHITL, así queremos a una PRESIDENTA CONGRUENTE y con ETICA y no una BUSCA PLEITOS y PAYASA DE CIRCO, VIVA CLAUDIA ella si nos REPRESENTA.","14.0","que bueno que claudia sheinbaum se mantuvo firme a sus propuestas y no cayó en el juego de perder tiempo en seguirle el juego a xochitl,así queremos a una presidenta congruente y con etica y no una busca pleito y payasa de circo,viva claudia ella si nos representa."
"1.0","universal","juanrivas5250","07/04/2024","No soy experto ni mucho menos en escenarios pero ahora si como dice el dicho del chavo del 8, al INE le salió bien sin querer queriendo el debate ya que mostró el rostro de los opuestos cuando se expresaba un candidato y eso siempre lo oculta la TV en cambio cualquier mortal desearía estar en vivo ahí en el escenario para ver las expresiones contrarias. Así es que mis más amplias felicitaciones a quien realizaron este debate","0.0","no soy experto ni mucho menos en escenarios pero ahora si como dice el dicho del chavo del 8,al ine le salió bien sin querer queriendo el debate ya que mostró el rostro de los opuestos cuando se expresaba un candidato y eso siempre lo oculta la tv en cambio cualquier mortal desearía estar en vivo ahí en el escenario para ver las expresiones contrarias.así es que mms más amplias felicitaciones a quien realizaron este debate"
"1.0","universal","felixmora5356","07/04/2024","Nadie respondió nada de lo que les preguntaron, quien hace la cuenta?","1.0","nadie respondió nada de lo que les preguntaron,quien hace la cuenta?"
"1.0","universal","user-dz2qt7ty2n","07/04/2024","Me gusta como ustedes abordan  los temas me voy a volver. Cómo ustedes","0.0","me gusta como ustedes abordan los temas me oye a volver.cómo ustedes"
"1.0","universal","user-jr3fu7qs3d","07/04/2024","Estuvo interesante","1.0","estuvo interesante"
"1.0","universal","arturocanales8402","07/04/2024","No puede ser, cada vez que oigo a exponer a alguien de Morena, que pobre esta nuestra política que bajo a caido, más ignorancia y terquedad imposible y sale alguien mas de Morena y desbanca al anterior.","1.0","no puede hacer,cada vez que oigo a exponer a alguien de morena,que pobre esta nuestra política que bajo a caído,más ignorancia y terquedad imposible y sale alguien más de morena y desbanca al anterior."
"1.0","universal","Pepe-cy1pn","07/04/2024","Xochilt se queda callada cuando dicen la vdd","9.0","xochitl se queda callada cuando dicen la vdd"
"1.0","universal","blancamarines6637","07/04/2024","Nunca más podrá volver el PRI a el gobierno después de todo lo vivido por años","1.0","nunca más podrá volver el pri representado por xochitl a el gobierno después de todo lo vivido por años"
"1.0","universal","luisoratoria","07/04/2024","Muy bien carlos González","0.0","muy bien carlos gonzález"
"1.0","universal","javieriche1036","07/04/2024","1:13:50 lo mas curado! la reacción de Denise que se aguantó la risa... jajajajaja!","0.0","1:13:50 lo más curado!la reacción de denise que se aguantó la risa...jajajajaja!"
"1.0","universal","armandomexicanos6130","07/04/2024","En realidad la reforma a la evaluación docente era muy buena, fue un error de Regeneración haber echado para atrás esa reforma cambio sustancial para la educación desde básica hasta superior","2.0","en realidad la reforma a la evaluación docente era muy buena,fue un error de regeneración haber echado para atrás esa reforma cambio sustancial para la educación desde básica hasta superior"
"1.0","universal","jorgetorreshernandez4973","07/04/2024","Que vergüenza en el , 2024 y ver en que personas, vamos al futuro, las lavandera se quedaron cortas, DAN PENA AJENA","1.0","que vergüenza en el,2024 y ver en que personas,vamos al futuro,las lavandera se quedaron cortas,dan pena ajena"
"1.0","universal","elchuyhernandez","07/04/2024","Pogque habla así hahahaha 🫢","0.0","pogque habla así hahahaha🫢"
"1.0","universal","jorgepena3095","07/04/2024","Ninguno propuso bajar el ISR.","1.0","ninguno propuso bajar el isr."
"1.0","universal","Oleksandr_rt","07/04/2024","Me convence maines","2.0","me convence Maynez"
"1.0","universal","user-rv4yw9gf9d","07/04/2024","Soy. Galilea.  Tengo. 7.   Años. Maynez. Bamos. Para.   Xochitl y. Claudia.","0.0","soy.galilea.tengo.7.años.maynez.bamos.para.xochitl y.claudia."
"1.0","universal","memoio8202","07/04/2024","Universal: Es muy acertado que subliminalmente acepten la realidad pues en la imagen de portada ponen a Claudia al frente.","0.0","universal:es muy acertado que subliminalmente acepten la realidad pues en la imagen de portada ponen a claudia al frente."
"1.0","universal","ferlanymorales4397","07/04/2024","Maynez aprobecho y le echo mas tierra a claudia y a xochil, yo diria que gano maynez en segundo claudia y en tercero los periodistas","2.0","maynez aprobecho y le echo más tierra a claudia y a xochitl,yo diria que gano maynez en segundo claudia y en tercero los periodistas"
"1.0","universal","F1NEONE","07/04/2024","En el foro la conductora en el celular sin poner atención y en el debate Xóchitl Gálvez por estar hablando ni escucha las preguntas y pide que se las repitan, un poco más de seriedad","0.0","en el foro la conductora en el celular sin poner atención y en el debate xochitl galvez por estar hablando ni escucha las preguntas y pide que se las repitan,un poco más de seriedad"
"1.0","universal","luisoratoria","07/04/2024","Mis respetos para la única mujer en este debate, Julieta estamos contigo","0.0","mms respetos para la única mujer en este debate,julieta estamos contigo"
"1.0","universal","lauraperezduran2508","07/04/2024","Es plantear","0.0","es plantear"
"1.0","universal","victorhugoroma6258","07/04/2024","INE manipuló en negativo las preguntas (sobre logros del gobierno) y dio más tiempo a Mochitl Gálvez...","0.0","ine manipuló en negativo las preguntas(sobre logros del gobierno)y dio más tiempo a xochitl galvez..."
"1.0","universal","hdthdrhtr","07/04/2024","Maynez se ve muy contrentrado es el mejor dicen que de los males el menos","1.0","maynez se ve muy contrentrado es el mejor dicen que de los males el menos"
"1.0","universal","mauriciorodriquezvalencia6452","07/04/2024","En la segunda pregunta jorge hablo sobre lo que es real el inicio de campañas de las candidatas fue antes de lo debido eso es inegable el que esta en desacuerdo solo debe jaber salido a la calle en el ultimo año y medio lit todo el paos estaba lleno de pancartas  lonas y espectaculares desde mucho antes de lo permitido tambien hablo sobre las empresas con conflicto de interés las cuales si son muchas y propuso un sistema nuevo pero no específico cual u como iba s actuar  Claudia hablo sobre datos del gobierno actual seguira con la 4t y sus objetivos y toco sobre el uso de fentanilo el cual si se usaba pero de buena menera esas son cosas medicas quw se nos escapan pero realmente si tiene su punto   Xochitl volvio a atacar con el medicamento comtra piojos hablo sobre un nuevo sistema de gobierno prácticamente el cual sera escogido mediante concursos de manera cuidadana de que forma y por que ciudadanos quien sabe   A claudia se le reitera como acabara con estos casos de corrupción que aquejan el pais y ella de nuevo puso los datos del actual gobierno pero no se respondió lo que todos queremos que es aie cortaran las cabezas principales y no se usarán chivos expiatorios como siempre se a echo u por lo visto gane quien gane se seguira haciendo","3.0","en la segunda pregunta jorge hablo sobre lo que es real el inicio de campañas de las candidatas fue antes de lo debido eso es inegable el que esta en desacuerdo solo debe jaber salido a la calle en el ultimo año y medio lit todo el paos estaba lleno de pancartas lonas y espectaculares desde mucho antes de lo permitido tambien hablo sobre las empresas con conflicto de interés las cuales si son muchas y propuso un sistema nuevo pero no específico cual u como iba s actuar claudia hablo sobre datos del gobierno actual seguira con la 4ta transformación y sus objetivos y toco sobre el uso de fentanilo el cual si se usaba pero de buena menera esas son cosas medicas que se nos escapan pero realmente si tiene su punto xochitl volvio a atacar con el medicamento comtra piojos hablo sobre un nuevo sistema de gobierno prácticamente el cual sera escogido mediante concursos de manera cuidadana de que forma y por que ciudadanos quien sabe a claudia se le reitera como acabara con estos casos de corrupción que aquejan el pais y ella de nuevo puso los datos del actual gobierno pero no se respondió lo que todos queremos que es aie cortaran las cabezas principales y no se usarán chivos expiatorios como siempre se a echo u por lo visto gane quien gane se seguira haciendo"
"1.0","universal","KrishnaSandoval","07/04/2024","Amigos , porque no entienden que nada es gratis? Cuando dicen que daran cosas gratis en verdad significa ""vamos a cobras mas impuestos, el 20% ira a usteded y lo demás de corrupción"". Necesitamos reducir la inflacion y mejorar el libre mercado en mexico.","0.0","amigos,porque no entienden que nada es gratis?cuando dicen que daran cosas gratis en verdad significa""vamos a cobras más impuestos,el 20%ira a usteded y lo demás de corrupción"".necesitamos reducir la inflacion y mejorar el libre mercado en mexico."
"1.0","universal","sarakemp485","07/04/2024","La Xochitl que tuvo una educación muy buena que s sus padres le educaron muy bien que que qué raro que su hermana es una secuestradora que está en la cárcel","0.0","la xochitl que tuvo una educación muy buena que s sus padres le educaron muy bien que que qué raro que su hermana es una secuestradora que está en la cárcel"
"1.0","universal","jpabloa7609","07/04/2024","plan c apoyado por Claudia,para lograr mayoría y se puedan aprobar las reformas que brindan derechos laborales.","0.0","plan c apoyado por claudia,para lograr mayoría y se puedan aprobar las reformas que brindan derechos laborales."
"1.0","universal","user-yi6cb1mz1i","07/04/2024","Ahora sin leer, señora. 2:05:12","1.0","ahora sin leer,señora.2:05:12"
"1.0","universal","armandovillasenorbermudez7414","07/04/2024","la verdad no peca pero incómodo verdad sr x la","1.0","la verdad no peca pero incómodo verdad sr x la"
"1.0","universal","noemimendoza9398","07/04/2024","Pobre tipo  En los 2 sexenios que gobernaron no lo hicieron  Porque tendríamos que creerles ahora . Creen que somos tontos  Pobre oposición.","0.0","pobre tipo en los 2 sexenios que gobernaron no lo hicieron porque tendríamos que creerles ahora.creen que somos tontos pobre oposición."
"1.0","universal","zairamcbernal7229","07/04/2024","Antes de permitirles elevarse a una candidatura, deberían hacer exámenes de competencia académica para ver si están a la altura de ser los gobernantes de una nación. Al menos desde una persectiva general como organización política, leyes, historia y economía de México.  Y otro de aptitud académica donde se evaluaran cosas como capacidad verbal; los tres candidatos en un momento u otro se vieron perdidos en su discurso y parecía que no entendían lo que se les estaba preguntando. Se supone que ellos guiarán al país??","0.0","antes de permitirles elevarse a una candidatura,deberían hacer exámenes de competencia académica para ver si están a la altura de hacer los gobernantes de una nación.al menos desde una persectiva general como organización política,leyes,historia y economía de méxico.y otro de aptitud académica donde se evaluaran cosas como capacidad verbal;los tres candidatos en un momento u otro se vieron perdidos en su discurso y parecía que no entendían lo que se les estaba preguntando.se supone que ellos guiarán al país??"
"1.0","universal","user-lf2xz9hs3l","07/04/2024","Al de m.c. fue a reírse ¿Quién le estará haciendo cosquillas?","3.0","al de m.c.fue a reírse¿quién le estará haciendo cosquillas?"
"1.0","universal","stanpines1479","07/04/2024","Pésimo moderador, y formato sin mesas expuestos y casi se le desgreñan encima","1.0","pésimo moderador,y formato sin mesas expuestos y casi se le desgreñan encima"
"1.0","universal","pepeto72","07/04/2024","no pude terminar el post debate - No soporté a la morenista, que desesperación ese nivel de debate, Lozano y Gibran se pasan de aguantar tanta estulticia y arrogancia de esa mujer estulta","0.0","no pude terminar el post debate-no soporté a la morenista,que desesperación ese nivel de debate,lozano y gibran se pasan de aguantar tanta estulticia y arrogancia de esa mujer estulta"
"1.0","universal","2023yo","07/04/2024","Xóchitl me recuerda cuando estaba en primer año de primaria","2.0","xochitl me recuerda cuando estaba en primer año de primaria"
"1.0","universal","AzrielaNieto","07/04/2024","La cara de xochilt cuando le dicen Aquien le vendió el departamento ..","1.0","la cara de xochitl cuando le dicen aquien le vendió el departamento.."
"1.0","universal","jainmelgoza3108","07/04/2024","Se acuerdan cundo politizaron los normalistas de ayotzinapan","1.0","se acuerdan cundo politizaron los normalistas de ayotzinapan"
"1.0","universal","user-rv4yw9gf9d","07/04/2024","Bamos. Maynez soy. Galilea","0.0","bamos.maynez soy.galilea"
"1.0","universal","user-ie6uc1mm7t","07/04/2024","Mejor ataque a xochil 31:10  2:05:00 puras mentiras","1.0","mejor ataque a xochitl 31:10 2:05:00 puras mentiras"
"1.0","universal","javierrm6176","07/04/2024","Va ser el infonavit el que va a construir las viviendas, o para variar el ejercito, al final aunque es de chocolate Mainez fue más propositivo.","0.0","va hacer el infonavit el que va a construir las viviendas,o para variar el ejercito,al final aunque es de chocolate maynez fue más propositivo."
"1.0","universal","Elizabethcm8xm","07/04/2024","pésima organización del debate, favoritismo a xochilt,  mal sonido para el candidato, pésimo. Cero para los organizadores","1.0","pésima organización del debate,favoritismo a xochitl,mal sonido para el candidato,pésimo.cero para los organizadores"
"1.0","universal","mishidelatorre2433","07/04/2024","Cuanto les habra costado$$$ conocer las preguntas de antemano. Milagro que la sra x no esta leyendo! -Porque le estan Dictando!!","0.0","cuanto les habra costado$$$conocer las preguntas de antemano.milagro que la señora x no esta leyendo!-porque le estan dictando!!"
"1.0","universal","JM-ml3ch","07/04/2024","Que perdida de tiempo. Se necesita que replacer los encargados totalmente. Se parece como una oficina de compania donde nadie sabe solucionar y se la pasan culpandose.","0.0","que perdida de tiempo.se necesita que replacer los encargados totalmente.se parece como una oficina de compania donde nadie sabe solucionar y se la pasan culpandose."
"1.0","universal","KRV494","07/04/2024","El post debate estuvo 100% mejor .","0.0","el post debate estuvo 100%mejor."
"1.0","universal","leonardoperez9557","07/04/2024","ESO NO LE PREGUNTARON ESO.","0.0","eso no le preguntaron eso."
"1.0","universal","adielsiloe8722","07/04/2024","Prefiero mil veces el debate pasado","1.0","prefiero mil veces el debate pasado"
